_id,data,timestamp,month
6610c8c534b26beb10349aaf,9.85,2024-04-06T00:00:05.360495-04:00,April
6610c8cb34b26beb10349ac5,9.82,2024-04-06T00:00:11.773440-04:00,April
6610c8d234b26beb10349adb,9.95,2024-04-06T00:00:18.186635-04:00,April
6610c8d834b26beb10349af1,9.99,2024-04-06T00:00:24.597734-04:00,April
6610c8df34b26beb10349b07,10.02,2024-04-06T00:00:31.008633-04:00,April
6610c8e534b26beb10349b1d,10.07,2024-04-06T00:00:37.413929-04:00,April
6610c8eb34b26beb10349b33,10.05,2024-04-06T00:00:43.845546-04:00,April
6610c8f234b26beb10349b49,10.00,2024-04-06T00:00:50.263074-04:00,April
6610c8f834b26beb10349b5f,10.01,2024-04-06T00:00:56.680994-04:00,April
6610c8ff34b26beb10349b75,10.04,2024-04-06T00:01:03.097149-04:00,April
6610c90534b26beb10349b8b,10.02,2024-04-06T00:01:09.512766-04:00,April
6610c90b34b26beb10349ba1,10.05,2024-04-06T00:01:15.930784-04:00,April
6610c91234b26beb10349bb7,10.01,2024-04-06T00:01:22.348397-04:00,April
6610c91834b26beb10349bcd,10.08,2024-04-06T00:01:28.764462-04:00,April
6610c91f34b26beb10349be3,10.04,2024-04-06T00:01:35.176241-04:00,April
6610c92534b26beb10349bf9,9.98,2024-04-06T00:01:41.595457-04:00,April
6610c92c34b26beb10349c0f,9.93,2024-04-06T00:01:48.008800-04:00,April
6610c93234b26beb10349c25,9.86,2024-04-06T00:01:54.422577-04:00,April
6610c93834b26beb10349c3b,9.88,2024-04-06T00:02:00.835880-04:00,April
6610c93f34b26beb10349c51,9.87,2024-04-06T00:02:07.250044-04:00,April
6610c94534b26beb10349c67,9.97,2024-04-06T00:02:13.664758-04:00,April
6610c94c34b26beb10349c7d,9.93,2024-04-06T00:02:20.079999-04:00,April
6610c95234b26beb10349c93,9.86,2024-04-06T00:02:26.494239-04:00,April
6610c95834b26beb10349ca9,9.94,2024-04-06T00:02:32.907332-04:00,April
6610c95f34b26beb10349cbf,9.94,2024-04-06T00:02:39.318385-04:00,April
6610c96534b26beb10349cd5,9.86,2024-04-06T00:02:45.736041-04:00,April
6610c96c34b26beb10349ceb,9.86,2024-04-06T00:02:52.147966-04:00,April
6610c97234b26beb10349d01,9.84,2024-04-06T00:02:58.560592-04:00,April
6610c97834b26beb10349d17,9.92,2024-04-06T00:03:04.973831-04:00,April
6610c97f34b26beb10349d2d,9.88,2024-04-06T00:03:11.424569-04:00,April
6610c98534b26beb10349d43,9.91,2024-04-06T00:03:17.799941-04:00,April
6610c98c34b26beb10349d59,10.03,2024-04-06T00:03:24.214095-04:00,April
6610c99234b26beb10349d6f,9.91,2024-04-06T00:03:30.628116-04:00,April
6610c99934b26beb10349d85,9.86,2024-04-06T00:03:37.041550-04:00,April
6610c99f34b26beb10349d9b,9.78,2024-04-06T00:03:43.454200-04:00,April
6610c9a534b26beb10349db1,9.76,2024-04-06T00:03:49.872343-04:00,April
6610c9ac34b26beb10349dc7,9.61,2024-04-06T00:03:56.284156-04:00,April
6610c9b234b26beb10349ddd,9.65,2024-04-06T00:04:02.697744-04:00,April
6610c9b934b26beb10349df3,9.74,2024-04-06T00:04:09.110103-04:00,April
6610c9bf34b26beb10349e09,9.77,2024-04-06T00:04:15.525627-04:00,April
6610c9c534b26beb10349e1f,9.76,2024-04-06T00:04:21.937707-04:00,April
6610c9cc34b26beb10349e35,9.73,2024-04-06T00:04:28.351211-04:00,April
6610c9d234b26beb10349e4b,9.79,2024-04-06T00:04:34.764294-04:00,April
6610c9d934b26beb10349e61,9.85,2024-04-06T00:04:41.175968-04:00,April
6610c9df34b26beb10349e77,9.91,2024-04-06T00:04:47.586937-04:00,April
6610c9e634b26beb10349e8d,9.84,2024-04-06T00:04:54.003095-04:00,April
6610c9ec34b26beb10349ea3,9.76,2024-04-06T00:05:00.419314-04:00,April
6610c9f234b26beb10349eb9,9.64,2024-04-06T00:05:06.832390-04:00,April
6610c9f934b26beb10349ecf,9.67,2024-04-06T00:05:13.243395-04:00,April
6610c9ff34b26beb10349ee5,9.65,2024-04-06T00:05:19.660620-04:00,April
6610ca0634b26beb10349efb,9.59,2024-04-06T00:05:26.073853-04:00,April
6610ca0c34b26beb10349f11,9.73,2024-04-06T00:05:32.486644-04:00,April
6610ca1234b26beb10349f27,9.73,2024-04-06T00:05:38.899321-04:00,April
6610ca1934b26beb10349f3d,9.71,2024-04-06T00:05:45.312691-04:00,April
6610ca1f34b26beb10349f53,9.78,2024-04-06T00:05:51.727539-04:00,April
6610ca2634b26beb10349f69,9.76,2024-04-06T00:05:58.142037-04:00,April
6610ca2c34b26beb10349f7f,9.67,2024-04-06T00:06:04.555282-04:00,April
6610ca3234b26beb10349f95,9.70,2024-04-06T00:06:10.967748-04:00,April
6610ca3934b26beb10349fab,9.78,2024-04-06T00:06:17.380213-04:00,April
6610ca3f34b26beb10349fc1,9.69,2024-04-06T00:06:23.794361-04:00,April
6610ca4634b26beb10349fd7,9.73,2024-04-06T00:06:30.208774-04:00,April
6610ca4c34b26beb10349fed,9.66,2024-04-06T00:06:36.622022-04:00,April
6610ca5334b26beb1034a003,9.70,2024-04-06T00:06:43.034721-04:00,April
6610ca5934b26beb1034a019,9.78,2024-04-06T00:06:49.446551-04:00,April
6610ca5f34b26beb1034a02f,9.69,2024-04-06T00:06:55.857715-04:00,April
6610ca6634b26beb1034a045,9.66,2024-04-06T00:07:02.275995-04:00,April
6610ca6c34b26beb1034a05b,9.63,2024-04-06T00:07:08.689550-04:00,April
6610ca7334b26beb1034a071,9.52,2024-04-06T00:07:15.102764-04:00,April
6610ca7934b26beb1034a087,9.41,2024-04-06T00:07:21.515338-04:00,April
6610ca7f34b26beb1034a09d,9.51,2024-04-06T00:07:27.930015-04:00,April
6610ca8634b26beb1034a0b3,9.60,2024-04-06T00:07:34.343402-04:00,April
6610ca8c34b26beb1034a0c9,9.62,2024-04-06T00:07:40.756553-04:00,April
6610ca9334b26beb1034a0df,9.66,2024-04-06T00:07:47.169560-04:00,April
6610ca9934b26beb1034a0f5,9.69,2024-04-06T00:07:53.582548-04:00,April
6610ca9f34b26beb1034a10b,9.50,2024-04-06T00:07:59.995136-04:00,April
6610caa634b26beb1034a121,9.55,2024-04-06T00:08:06.409037-04:00,April
6610caac34b26beb1034a137,9.56,2024-04-06T00:08:12.828140-04:00,April
6610cab334b26beb1034a14d,9.52,2024-04-06T00:08:19.237856-04:00,April
6610cab934b26beb1034a163,9.55,2024-04-06T00:08:25.697104-04:00,April
6610cac034b26beb1034a179,9.53,2024-04-06T00:08:32.067543-04:00,April
6610cac634b26beb1034a18f,9.67,2024-04-06T00:08:38.478673-04:00,April
6610cacc34b26beb1034a1a5,9.61,2024-04-06T00:08:44.893400-04:00,April
6610cad334b26beb1034a1bb,9.56,2024-04-06T00:08:51.303325-04:00,April
6610cad934b26beb1034a1d1,9.49,2024-04-06T00:08:57.718475-04:00,April
6610cae034b26beb1034a1e7,9.47,2024-04-06T00:09:04.131583-04:00,April
6610cae634b26beb1034a1fd,9.49,2024-04-06T00:09:10.549287-04:00,April
6610caec34b26beb1034a213,9.46,2024-04-06T00:09:16.958821-04:00,April
6610caf334b26beb1034a229,9.52,2024-04-06T00:09:23.374024-04:00,April
6610caf934b26beb1034a23f,9.44,2024-04-06T00:09:29.789065-04:00,April
6610cb0034b26beb1034a255,9.41,2024-04-06T00:09:36.200896-04:00,April
6610cb0634b26beb1034a26b,9.40,2024-04-06T00:09:42.614429-04:00,April
6610cb0d34b26beb1034a281,9.40,2024-04-06T00:09:49.026131-04:00,April
6610cb1334b26beb1034a297,9.44,2024-04-06T00:09:55.441848-04:00,April
6610cb1934b26beb1034a2ad,9.39,2024-04-06T00:10:01.853515-04:00,April
6610cb2034b26beb1034a2c3,9.40,2024-04-06T00:10:08.263323-04:00,April
6610cb2634b26beb1034a2d9,9.47,2024-04-06T00:10:14.678684-04:00,April
6610cb2d34b26beb1034a2ef,9.54,2024-04-06T00:10:21.094659-04:00,April
6610cb3334b26beb1034a305,9.48,2024-04-06T00:10:27.509763-04:00,April
6610cb3934b26beb1034a31b,9.43,2024-04-06T00:10:33.924283-04:00,April
6610cb4034b26beb1034a331,9.47,2024-04-06T00:10:40.337814-04:00,April
6610cb4634b26beb1034a347,9.48,2024-04-06T00:10:46.751092-04:00,April
6610cb4d34b26beb1034a35d,9.48,2024-04-06T00:10:53.162898-04:00,April
6610cb5334b26beb1034a373,9.42,2024-04-06T00:10:59.575720-04:00,April
6610cb5934b26beb1034a389,9.48,2024-04-06T00:11:05.993227-04:00,April
6610cb6034b26beb1034a39f,9.41,2024-04-06T00:11:12.403434-04:00,April
6610cb6634b26beb1034a3b5,9.35,2024-04-06T00:11:18.818956-04:00,April
6610cb6d34b26beb1034a3cb,9.35,2024-04-06T00:11:25.230746-04:00,April
6610cb7334b26beb1034a3e1,9.44,2024-04-06T00:11:31.644322-04:00,April
6610cb7a34b26beb1034a3f7,9.41,2024-04-06T00:11:38.057577-04:00,April
6610cb8034b26beb1034a40d,9.41,2024-04-06T00:11:44.471881-04:00,April
6610cb8634b26beb1034a423,9.41,2024-04-06T00:11:50.883844-04:00,April
6610cb8d34b26beb1034a439,9.36,2024-04-06T00:11:57.295712-04:00,April
6610cb9334b26beb1034a44f,9.49,2024-04-06T00:12:03.709054-04:00,April
6610cb9a34b26beb1034a465,9.49,2024-04-06T00:12:10.121059-04:00,April
6610cba034b26beb1034a47b,9.56,2024-04-06T00:12:16.533214-04:00,April
6610cba634b26beb1034a491,9.58,2024-04-06T00:12:22.949920-04:00,April
6610cbad34b26beb1034a4a7,9.65,2024-04-06T00:12:29.362464-04:00,April
6610cbb334b26beb1034a4bd,9.56,2024-04-06T00:12:35.776052-04:00,April
6610cbba34b26beb1034a4d3,9.40,2024-04-06T00:12:42.189649-04:00,April
6610cbc034b26beb1034a4e9,9.42,2024-04-06T00:12:48.604333-04:00,April
6610cbc734b26beb1034a4ff,9.54,2024-04-06T00:12:55.016823-04:00,April
6610cbcd34b26beb1034a515,9.43,2024-04-06T00:13:01.429828-04:00,April
6610cbd334b26beb1034a52b,9.55,2024-04-06T00:13:07.844160-04:00,April
6610cbda34b26beb1034a541,9.45,2024-04-06T00:13:14.258911-04:00,April
6610cbe034b26beb1034a557,9.54,2024-04-06T00:13:20.670084-04:00,April
6610cbe734b26beb1034a56d,9.54,2024-04-06T00:13:27.086256-04:00,April
6610cbed34b26beb1034a583,9.38,2024-04-06T00:13:33.499411-04:00,April
6610cbf334b26beb1034a599,9.39,2024-04-06T00:13:39.911299-04:00,April
6610cbfa34b26beb1034a5af,9.50,2024-04-06T00:13:46.324363-04:00,April
6610cc0034b26beb1034a5c5,9.51,2024-04-06T00:13:52.738412-04:00,April
6610cc0734b26beb1034a5db,9.49,2024-04-06T00:13:59.152519-04:00,April
6610cc0d34b26beb1034a5f1,9.53,2024-04-06T00:14:05.565626-04:00,April
6610cc1334b26beb1034a607,9.36,2024-04-06T00:14:11.982755-04:00,April
6610cc1a34b26beb1034a61d,9.30,2024-04-06T00:14:18.393061-04:00,April
6610cc2034b26beb1034a633,9.49,2024-04-06T00:14:24.808015-04:00,April
6610cc2934b26beb1034a649,9.33,2024-04-06T00:14:33.119043-04:00,April
6610cc2d34b26beb1034a65f,9.31,2024-04-06T00:14:37.625998-04:00,April
6610cc3434b26beb1034a675,9.41,2024-04-06T00:14:44.040143-04:00,April
6610cc3a34b26beb1034a68b,9.39,2024-04-06T00:14:50.452543-04:00,April
6610cc4034b26beb1034a6a1,9.31,2024-04-06T00:14:56.869903-04:00,April
6610cc4734b26beb1034a6b7,9.32,2024-04-06T00:15:03.283952-04:00,April
6610cc4d34b26beb1034a6cd,9.33,2024-04-06T00:15:09.696265-04:00,April
6610cc5434b26beb1034a6e3,9.32,2024-04-06T00:15:16.110702-04:00,April
6610cc5a34b26beb1034a6f9,9.39,2024-04-06T00:15:22.523196-04:00,April
6610cc6034b26beb1034a70f,9.35,2024-04-06T00:15:28.941588-04:00,April
6610cc6734b26beb1034a725,9.33,2024-04-06T00:15:35.355583-04:00,April
6610cc6d34b26beb1034a73b,9.35,2024-04-06T00:15:41.767120-04:00,April
6610cc7434b26beb1034a751,9.35,2024-04-06T00:15:48.180086-04:00,April
6610cc7a34b26beb1034a767,9.31,2024-04-06T00:15:54.593148-04:00,April
6610cc8134b26beb1034a77d,9.36,2024-04-06T00:16:01.005507-04:00,April
6610cc8734b26beb1034a793,9.45,2024-04-06T00:16:07.419394-04:00,April
6610cc8d34b26beb1034a7a9,9.43,2024-04-06T00:16:13.832458-04:00,April
6610cc9434b26beb1034a7bf,9.40,2024-04-06T00:16:20.245786-04:00,April
6610cc9a34b26beb1034a7d5,9.50,2024-04-06T00:16:26.659126-04:00,April
6610cca134b26beb1034a7eb,9.50,2024-04-06T00:16:33.070644-04:00,April
6610cca734b26beb1034a801,9.49,2024-04-06T00:16:39.483544-04:00,April
6610ccad34b26beb1034a817,9.41,2024-04-06T00:16:45.897817-04:00,April
6610ccb434b26beb1034a82d,9.35,2024-04-06T00:16:52.311138-04:00,April
