_id,data,timestamp,month
66136bc534b26beb103cd3f0,22.55,2024-04-08T00:00:05.257844-04:00,April
66136d4934b26beb103cd863,22.51,2024-04-08T00:06:33.131304-04:00,April
66136ecd34b26beb103cdcd6,22.49,2024-04-08T00:13:01.002618-04:00,April
6613705034b26beb103ce149,22.47,2024-04-08T00:19:28.883346-04:00,April
661371d434b26beb103ce5bc,22.47,2024-04-08T00:25:56.756848-04:00,April
6613735834b26beb103cea2f,22.47,2024-04-08T00:32:24.629711-04:00,April
661374dc34b26beb103ceea2,22.28,2024-04-08T00:38:52.504157-04:00,April
6613766034b26beb103cf315,22.49,2024-04-08T00:45:20.374455-04:00,April
661377e434b26beb103cf788,22.5,2024-04-08T00:51:48.242944-04:00,April
6613796834b26beb103cfbfb,22.5,2024-04-08T00:58:16.111715-04:00,April
66137aeb34b26beb103d006e,22.51,2024-04-08T01:04:43.989826-04:00,April
66137c6f34b26beb103d04e1,22.52,2024-04-08T01:11:11.858115-04:00,April
66137df334b26beb103d0954,22.51,2024-04-08T01:17:39.728399-04:00,April
66137f7734b26beb103d0dc7,22.51,2024-04-08T01:24:07.598527-04:00,April
661380fb34b26beb103d123a,22.51,2024-04-08T01:30:35.478660-04:00,April
6613827f34b26beb103d16ad,22.52,2024-04-08T01:37:03.345063-04:00,April
6613840334b26beb103d1b20,22.53,2024-04-08T01:43:31.218148-04:00,April
6613858734b26beb103d1f93,22.51,2024-04-08T01:49:59.083779-04:00,April
6613870a34b26beb103d2406,22.52,2024-04-08T01:56:26.956495-04:00,April
6613888e34b26beb103d2879,22.53,2024-04-08T02:02:54.821293-04:00,April
66138a1234b26beb103d2cec,22.53,2024-04-08T02:09:22.692751-04:00,April
66138b9634b26beb103d315f,22.52,2024-04-08T02:15:50.572205-04:00,April
66138d1a34b26beb103d35d2,22.51,2024-04-08T02:22:18.439076-04:00,April
66138e9e34b26beb103d3a45,22.51,2024-04-08T02:28:46.311313-04:00,April
6613902234b26beb103d3eb8,22.5,2024-04-08T02:35:14.192318-04:00,April
661391a634b26beb103d432b,22.51,2024-04-08T02:41:42.062809-04:00,April
6613932934b26beb103d479e,22.48,2024-04-08T02:48:09.929570-04:00,April
661394ad34b26beb103d4c11,22.47,2024-04-08T02:54:37.795049-04:00,April
6613963134b26beb103d5084,22.43,2024-04-08T03:01:05.668255-04:00,April
661397b534b26beb103d54f7,22.43,2024-04-08T03:07:33.538527-04:00,April
6613993934b26beb103d596a,22.43,2024-04-08T03:14:01.406577-04:00,April
66139abd34b26beb103d5ddd,22.4,2024-04-08T03:20:29.283655-04:00,April
66139c4134b26beb103d6250,22.41,2024-04-08T03:26:57.152937-04:00,April
66139dc534b26beb103d66c3,22.39,2024-04-08T03:33:25.024274-04:00,April
66139f4834b26beb103d6b36,22.35,2024-04-08T03:39:52.893522-04:00,April
6613a0cc34b26beb103d6fa9,22.36,2024-04-08T03:46:20.768276-04:00,April
6613a25034b26beb103d741c,22.35,2024-04-08T03:52:48.650405-04:00,April
6613a3d434b26beb103d788f,22.35,2024-04-08T03:59:16.516721-04:00,April
6613a55834b26beb103d7d02,22.35,2024-04-08T04:05:44.383171-04:00,April
6613a6dc34b26beb103d8175,22.34,2024-04-08T04:12:12.252977-04:00,April
6613a86034b26beb103d85e8,22.32,2024-04-08T04:18:40.127248-04:00,April
6613a9e434b26beb103d8a5b,22.31,2024-04-08T04:25:08.000255-04:00,April
6613ab6734b26beb103d8ece,22.31,2024-04-08T04:31:35.873419-04:00,April
6613aceb34b26beb103d9341,22.31,2024-04-08T04:38:03.741570-04:00,April
6613ae6f34b26beb103d97b4,22.28,2024-04-08T04:44:31.611854-04:00,April
6613aff334b26beb103d9c27,22.25,2024-04-08T04:50:59.480009-04:00,April
6613b17734b26beb103da09a,22.24,2024-04-08T04:57:27.349981-04:00,April
6613b2fb34b26beb103da50d,22.2,2024-04-08T05:03:55.220120-04:00,April
6613b47f34b26beb103da980,22.2,2024-04-08T05:10:23.087273-04:00,April
6613b60234b26beb103dadf3,22.19,2024-04-08T05:16:50.960158-04:00,April
6613b78834b26beb103db265,22.17,2024-04-08T05:23:20.170490-04:00,April
6613b90c34b26beb103db6d8,22.14,2024-04-08T05:29:48.045769-04:00,April
6613ba8f34b26beb103dbb4b,22.11,2024-04-08T05:36:15.920736-04:00,April
6613bc1334b26beb103dbfbe,22.1,2024-04-08T05:42:43.789480-04:00,April
6613bd9734b26beb103dc431,22.1,2024-04-08T05:49:11.659720-04:00,April
6613bf1b34b26beb103dc8a4,22.09,2024-04-08T05:55:39.526055-04:00,April
6613c09f34b26beb103dcd17,22.09,2024-04-08T06:02:07.407299-04:00,April
6613c22334b26beb103dd18a,22.08,2024-04-08T06:08:35.289436-04:00,April
6613c3a734b26beb103dd5fd,22.06,2024-04-08T06:15:03.160474-04:00,April
6613c52b34b26beb103dda70,22.08,2024-04-08T06:21:31.042600-04:00,April
6613c6ae34b26beb103ddee3,22.08,2024-04-08T06:27:58.917703-04:00,April
6613c83234b26beb103de356,22.08,2024-04-08T06:34:26.791908-04:00,April
6613c9b634b26beb103de7c9,22.08,2024-04-08T06:40:54.666264-04:00,April
6613cb3a34b26beb103dec3c,22.08,2024-04-08T06:47:22.542336-04:00,April
6613ccbe34b26beb103df0af,22.07,2024-04-08T06:53:50.406491-04:00,April
6613ce4234b26beb103df522,22.05,2024-04-08T07:00:18.288346-04:00,April
6613cfc634b26beb103df995,22.04,2024-04-08T07:06:46.165441-04:00,April
6613d14a34b26beb103dfe08,22.18,2024-04-08T07:13:14.211337-04:00,April
6613d2ce34b26beb103e027b,22.4,2024-04-08T07:19:42.353682-04:00,April
6613d45234b26beb103e06ee,22.58,2024-04-08T07:26:10.494259-04:00,April
6613d5d634b26beb103e0b61,22.7,2024-04-08T07:32:38.641433-04:00,April
6613d75a34b26beb103e0fd4,22.82,2024-04-08T07:39:06.769406-04:00,April
6613d8de34b26beb103e1447,22.9,2024-04-08T07:45:34.907462-04:00,April
6613da6334b26beb103e18ba,22.95,2024-04-08T07:52:03.052092-04:00,April
6613dbe734b26beb103e1d2d,23.02,2024-04-08T07:58:31.195746-04:00,April
6613dd6b34b26beb103e21a0,23.08,2024-04-08T08:04:59.343798-04:00,April
6613deef34b26beb103e2613,23.11,2024-04-08T08:11:27.490211-04:00,April
6613e07334b26beb103e2a86,23.12,2024-04-08T08:17:55.638151-04:00,April
6613e1f734b26beb103e2ef9,23.17,2024-04-08T08:24:23.785766-04:00,April
6613e37b34b26beb103e336c,23.2,2024-04-08T08:30:51.941623-04:00,April
6613e50034b26beb103e37df,23.23,2024-04-08T08:37:20.083510-04:00,April
6613e68434b26beb103e3c52,23.28,2024-04-08T08:43:48.217778-04:00,April
6613e80834b26beb103e40c5,23.34,2024-04-08T08:50:16.356256-04:00,April
6613e98c34b26beb103e4538,23.36,2024-04-08T08:56:44.503716-04:00,April
6613eb1034b26beb103e49ab,23.39,2024-04-08T09:03:12.635409-04:00,April
6613ec9434b26beb103e4e1e,23.42,2024-04-08T09:09:40.784640-04:00,April
6613ee1834b26beb103e5291,23.44,2024-04-08T09:16:08.920750-04:00,April
6613ef9d34b26beb103e5704,23.47,2024-04-08T09:22:37.067466-04:00,April
6613f12134b26beb103e5b77,23.53,2024-04-08T09:29:05.208012-04:00,April
6613f2a534b26beb103e5fea,23.59,2024-04-08T09:35:33.347322-04:00,April
6613f42934b26beb103e645d,23.62,2024-04-08T09:42:01.487971-04:00,April
6613f5ad34b26beb103e68d0,23.7,2024-04-08T09:48:29.629121-04:00,April
6613f73134b26beb103e6d43,23.75,2024-04-08T09:54:57.778694-04:00,April
6613f8b534b26beb103e71b6,23.79,2024-04-08T10:01:25.925954-04:00,April
6613fa3a34b26beb103e7629,23.82,2024-04-08T10:07:54.055158-04:00,April
6613fbbe34b26beb103e7a9c,23.83,2024-04-08T10:14:22.201110-04:00,April
6613fd4234b26beb103e7f0f,23.86,2024-04-08T10:20:50.361589-04:00,April
6613fec634b26beb103e8382,23.88,2024-04-08T10:27:18.500843-04:00,April
6614004a34b26beb103e87f5,23.89,2024-04-08T10:33:46.644951-04:00,April
