_id,data,timestamp
65f90dc51241735f8936b4df,10.98,2024-03-19T00:00:05.416142-04:00
65f90e181241735f8936b5fd,10.93,2024-03-19T00:01:28.684133-04:00
65f90e6c1241735f8936b71b,10.7,2024-03-19T00:02:52.058185-04:00
65f90ebf1241735f8936b839,11.07,2024-03-19T00:04:15.432536-04:00
65f90f121241735f8936b957,10.69,2024-03-19T00:05:38.805154-04:00
65f90f661241735f8936ba75,11.04,2024-03-19T00:07:02.167973-04:00
65f90fb91241735f8936bb93,10.59,2024-03-19T00:08:25.537554-04:00
65f9100c1241735f8936bcb1,10.98,2024-03-19T00:09:48.890447-04:00
65f910601241735f8936bdcf,10.67,2024-03-19T00:11:12.269529-04:00
65f910b31241735f8936beed,11.0,2024-03-19T00:12:35.639744-04:00
65f911071241735f8936c00b,10.66,2024-03-19T00:13:59.010583-04:00
65f911591241735f8936c124,11.0,2024-03-19T00:15:21.872089-04:00
65f911ad1241735f8936c242,10.96,2024-03-19T00:16:45.234966-04:00
65f912001241735f8936c360,10.86,2024-03-19T00:18:08.606293-04:00
65f912531241735f8936c47e,11.01,2024-03-19T00:19:31.971390-04:00
65f912a71241735f8936c59c,10.89,2024-03-19T00:20:55.344381-04:00
65f912fa1241735f8936c6ba,10.99,2024-03-19T00:22:18.726667-04:00
65f9134e1241735f8936c7d8,10.74,2024-03-19T00:23:42.099901-04:00
65f913a11241735f8936c8f6,11.01,2024-03-19T00:25:05.480031-04:00
65f913f41241735f8936ca14,10.85,2024-03-19T00:26:28.845067-04:00
65f914481241735f8936cb32,11.03,2024-03-19T00:27:52.222267-04:00
65f9149b1241735f8936cc50,10.73,2024-03-19T00:29:15.588303-04:00
65f914ee1241735f8936cd6e,10.98,2024-03-19T00:30:38.964373-04:00
65f915421241735f8936ce8c,10.83,2024-03-19T00:32:02.329266-04:00
65f915951241735f8936cfaa,11.0,2024-03-19T00:33:25.701794-04:00
