_id,device,feedback,timestamp
66046ed1fd90fedeb1e03b56,ezoHumidity,sending data,2024-03-27T15:09:05.851308-04:00
66046ed2fd90fedeb1e03b58,ezoHumidity,sending data,2024-03-27T15:09:06.103486-04:00
66046ed2fd90fedeb1e03b5a,ezoHumidity,sending data,2024-03-27T15:09:06.355878-04:00
66046ed2fd90fedeb1e03b5c,ezoColor,sending data,2024-03-27T15:09:06.611026-04:00
66046ed2fd90fedeb1e03b5e,ezoColor,sending data,2024-03-27T15:09:06.863261-04:00
66046ed3fd90fedeb1e03b60,ezoColor,sending data,2024-03-27T15:09:07.011051-04:00
66046ed3fd90fedeb1e03b62,ezoCO2,sending data,2024-03-27T15:09:07.281823-04:00
66046ed3fd90fedeb1e03b64,ezoConductivity,sending data,2024-03-27T15:09:07.519086-04:00
66046ed3fd90fedeb1e03b66,ezoConductivity,sending data,2024-03-27T15:09:07.774944-04:00
66046ed4fd90fedeb1e03b68,ezoConductivity,sending data,2024-03-27T15:09:08.024859-04:00
66046ed4fd90fedeb1e03b6a,ezoPH,sending data,2024-03-27T15:09:08.278563-04:00
66046ed4fd90fedeb1e03b6c,ezoDissolvedOxygen,sending data,2024-03-27T15:09:08.530229-04:00
66046ed6fd90fedeb1e03b6e,ezoHumidity,sending data,2024-03-27T15:09:10.773607-04:00
66046ed7fd90fedeb1e03b70,ezoHumidity,sending data,2024-03-27T15:09:11.026046-04:00
66046ed7fd90fedeb1e03b72,ezoHumidity,sending data,2024-03-27T15:09:11.278773-04:00
66046ed7fd90fedeb1e03b74,ezoColor,sending data,2024-03-27T15:09:11.534553-04:00
66046ed7fd90fedeb1e03b76,ezoColor,sending data,2024-03-27T15:09:11.787271-04:00
66046ed7fd90fedeb1e03b78,ezoColor,sending data,2024-03-27T15:09:11.929270-04:00
66046ed8fd90fedeb1e03b7a,ezoCO2,sending data,2024-03-27T15:09:12.193414-04:00
66046ed8fd90fedeb1e03b7c,ezoConductivity,sending data,2024-03-27T15:09:12.442736-04:00
66046ed8fd90fedeb1e03b7e,ezoConductivity,sending data,2024-03-27T15:09:12.690324-04:00
66046ed8fd90fedeb1e03b80,ezoConductivity,sending data,2024-03-27T15:09:12.945015-04:00
66046ed9fd90fedeb1e03b82,ezoPH,sending data,2024-03-27T15:09:13.195955-04:00
66046ed9fd90fedeb1e03b84,ezoDissolvedOxygen,sending data,2024-03-27T15:09:13.451269-04:00
66046edbfd90fedeb1e03b86,ezoHumidity,sending data,2024-03-27T15:09:15.695507-04:00
66046edbfd90fedeb1e03b88,ezoHumidity,sending data,2024-03-27T15:09:15.948217-04:00
66046edcfd90fedeb1e03b8a,ezoHumidity,sending data,2024-03-27T15:09:16.199752-04:00
66046edcfd90fedeb1e03b8c,ezoColor,sending data,2024-03-27T15:09:16.455387-04:00
66046edcfd90fedeb1e03b8e,ezoColor,sending data,2024-03-27T15:09:16.707123-04:00
66046edcfd90fedeb1e03b90,ezoColor,sending data,2024-03-27T15:09:16.859538-04:00
66046eddfd90fedeb1e03b92,ezoCO2,sending data,2024-03-27T15:09:17.109978-04:00
66046eddfd90fedeb1e03b94,ezoConductivity,sending data,2024-03-27T15:09:17.360914-04:00
66046eddfd90fedeb1e03b96,ezoConductivity,sending data,2024-03-27T15:09:17.629070-04:00
66046eddfd90fedeb1e03b98,ezoConductivity,sending data,2024-03-27T15:09:17.865626-04:00
66046edefd90fedeb1e03b9a,ezoPH,sending data,2024-03-27T15:09:18.129375-04:00
66046edefd90fedeb1e03b9c,ezoDissolvedOxygen,sending data,2024-03-27T15:09:18.371489-04:00
66046ee0fd90fedeb1e03b9e,ezoHumidity,sending data,2024-03-27T15:09:20.618294-04:00
66046ee0fd90fedeb1e03ba0,ezoHumidity,sending data,2024-03-27T15:09:20.870090-04:00
66046ee1fd90fedeb1e03ba2,ezoHumidity,sending data,2024-03-27T15:09:21.121892-04:00
66046ee1fd90fedeb1e03ba4,ezoColor,sending data,2024-03-27T15:09:21.377509-04:00
66046ee1fd90fedeb1e03ba6,ezoColor,sending data,2024-03-27T15:09:21.629449-04:00
66046ee1fd90fedeb1e03ba8,ezoColor,sending data,2024-03-27T15:09:21.814437-04:00
66046ee2fd90fedeb1e03baa,ezoCO2,sending data,2024-03-27T15:09:22.057480-04:00
66046ee2fd90fedeb1e03bac,ezoConductivity,sending data,2024-03-27T15:09:22.290924-04:00
66046ee2fd90fedeb1e03bae,ezoConductivity,sending data,2024-03-27T15:09:22.579473-04:00
66046ee2fd90fedeb1e03bb0,ezoConductivity,sending data,2024-03-27T15:09:22.807746-04:00
66046ee3fd90fedeb1e03bb2,ezoPH,sending data,2024-03-27T15:09:23.101436-04:00
66046ee3fd90fedeb1e03bb4,ezoDissolvedOxygen,sending data,2024-03-27T15:09:23.303481-04:00
66046ee5fd90fedeb1e03bb6,ezoHumidity,sending data,2024-03-27T15:09:25.540102-04:00
66046ee5fd90fedeb1e03bb8,ezoHumidity,sending data,2024-03-27T15:09:25.791815-04:00
66046ee6fd90fedeb1e03bba,ezoHumidity,sending data,2024-03-27T15:09:26.044174-04:00
66046ee6fd90fedeb1e03bbc,ezoColor,sending data,2024-03-27T15:09:26.299361-04:00
66046ee6fd90fedeb1e03bbe,ezoColor,sending data,2024-03-27T15:09:26.551338-04:00
66046ee6fd90fedeb1e03bc0,ezoColor,sending data,2024-03-27T15:09:26.749801-04:00
66046ee6fd90fedeb1e03bc2,ezoCO2,sending data,2024-03-27T15:09:26.975763-04:00
66046ee7fd90fedeb1e03bc4,ezoConductivity,sending data,2024-03-27T15:09:27.205257-04:00
66046ee7fd90fedeb1e03bc6,ezoConductivity,sending data,2024-03-27T15:09:27.464425-04:00
66046ee7fd90fedeb1e03bc8,ezoConductivity,sending data,2024-03-27T15:09:27.712135-04:00
66046ee7fd90fedeb1e03bca,ezoPH,sending data,2024-03-27T15:09:27.967016-04:00
66046ee8fd90fedeb1e03bcc,ezoDissolvedOxygen,sending data,2024-03-27T15:09:28.218710-04:00
66046eeafd90fedeb1e03bce,ezoHumidity,sending data,2024-03-27T15:09:30.460798-04:00
