_id,data,timestamp
65efd3441241735f891716bf,43.21,2024-03-12T00:00:04.683359-04:00
65efd36b1241735f89171743,43.51,2024-03-12T00:00:43.286890-04:00
65efd3911241735f891717c7,43.35,2024-03-12T00:01:21.759507-04:00
65efd3b81241735f8917184b,43.32,2024-03-12T00:02:00.186250-04:00
65efd3de1241735f891718cf,43.8,2024-03-12T00:02:38.375229-04:00
65efd4041241735f89171953,43.54,2024-03-12T00:03:16.856968-04:00
65efd42b1241735f891719d7,43.97,2024-03-12T00:03:55.332126-04:00
65efd4511241735f89171a5b,43.62,2024-03-12T00:04:33.815258-04:00
65efd4781241735f89171adf,43.77,2024-03-12T00:05:12.298797-04:00
65efd49e1241735f89171b63,43.53,2024-03-12T00:05:50.793945-04:00
65efd4c51241735f89171be7,43.75,2024-03-12T00:06:29.257669-04:00
65efd4eb1241735f89171c6b,43.84,2024-03-12T00:07:07.950890-04:00
65efd5121241735f89171cef,43.87,2024-03-12T00:07:46.203967-04:00
65efd5381241735f89171d73,43.92,2024-03-12T00:08:24.684371-04:00
65efd55f1241735f89171df7,44.41,2024-03-12T00:09:03.204281-04:00
65efd5851241735f89171e7b,44.18,2024-03-12T00:09:41.640593-04:00
65efd5ac1241735f89171eff,44.19,2024-03-12T00:10:20.117473-04:00
65efd5d21241735f89171f83,43.92,2024-03-12T00:10:58.728271-04:00
65efd5f91241735f89172007,44.27,2024-03-12T00:11:37.074010-04:00
65efd61f1241735f8917208b,44.07,2024-03-12T00:12:15.613926-04:00
65efd6461241735f8917210f,44.23,2024-03-12T00:12:54.028630-04:00
65efd66c1241735f89172193,44.0,2024-03-12T00:13:32.505619-04:00
65efd6921241735f89172217,44.0,2024-03-12T00:14:10.986137-04:00
65efd6b91241735f8917229b,43.8,2024-03-12T00:14:49.462572-04:00
65efd6df1241735f8917231f,43.63,2024-03-12T00:15:27.934965-04:00
65efd7061241735f891723a3,44.03,2024-03-12T00:16:06.415734-04:00
65efd72c1241735f89172427,44.21,2024-03-12T00:16:44.895242-04:00
65efd7531241735f891724ab,44.23,2024-03-12T00:17:23.371792-04:00
65efd7791241735f8917252f,44.19,2024-03-12T00:18:01.852139-04:00
65efd7a01241735f891725b3,44.2,2024-03-12T00:18:40.334859-04:00
65efd7c61241735f89172637,44.16,2024-03-12T00:19:18.801534-04:00
65efd7ed1241735f891726bb,44.59,2024-03-12T00:19:57.279658-04:00
65efd8131241735f8917273f,43.96,2024-03-12T00:20:35.757912-04:00
65efd83a1241735f891727c3,44.41,2024-03-12T00:21:14.235149-04:00
65efd8601241735f89172847,44.78,2024-03-12T00:21:52.748436-04:00
65efd8871241735f891728cb,43.95,2024-03-12T00:22:31.191061-04:00
65efd8ad1241735f8917294f,44.35,2024-03-12T00:23:09.667906-04:00
65efd8d41241735f891729d3,43.96,2024-03-12T00:23:48.142116-04:00
65efd8fa1241735f89172a57,44.38,2024-03-12T00:24:26.618222-04:00
65efd9211241735f89172adb,43.96,2024-03-12T00:25:05.157375-04:00
65efd9471241735f89172b5f,43.95,2024-03-12T00:25:43.574418-04:00
65efd96e1241735f89172be3,44.74,2024-03-12T00:26:22.050109-04:00
65efd9941241735f89172c67,44.38,2024-03-12T00:27:00.507879-04:00
65efd9ba1241735f89172ceb,43.88,2024-03-12T00:27:38.973135-04:00
65efd9e11241735f89172d6f,44.32,2024-03-12T00:28:17.466205-04:00
65efda071241735f89172df3,44.54,2024-03-12T00:28:55.907245-04:00
65efda2e1241735f89172e77,44.39,2024-03-12T00:29:34.389074-04:00
65efda541241735f89172efb,44.16,2024-03-12T00:30:12.863324-04:00
65efda7b1241735f89172f7f,44.14,2024-03-12T00:30:51.341402-04:00
65efdaa11241735f89173003,43.67,2024-03-12T00:31:29.881749-04:00
65efdac81241735f89173087,43.89,2024-03-12T00:32:08.298299-04:00
65efdaee1241735f8917310b,44.35,2024-03-12T00:32:46.767591-04:00
65efdb151241735f8917318f,44.75,2024-03-12T00:33:25.244346-04:00
65efdb3b1241735f89173213,43.84,2024-03-12T00:34:03.724189-04:00
65efdb621241735f89173297,43.96,2024-03-12T00:34:42.199481-04:00
65efdb881241735f8917331b,44.09,2024-03-12T00:35:20.673593-04:00
65efdbaf1241735f8917339f,44.22,2024-03-12T00:35:59.142162-04:00
65efdbd51241735f89173423,44.12,2024-03-12T00:36:37.621984-04:00
65efdbfc1241735f891734a7,44.32,2024-03-12T00:37:16.100178-04:00
65efdc221241735f8917352b,44.7,2024-03-12T00:37:54.602043-04:00
65efdc491241735f891735af,44.42,2024-03-12T00:38:33.068614-04:00
65efdc6f1241735f89173633,44.78,2024-03-12T00:39:11.547157-04:00
65efdc961241735f891736b7,44.3,2024-03-12T00:39:50.012555-04:00
65efdcbc1241735f8917373b,44.74,2024-03-12T00:40:28.487277-04:00
65efdce31241735f891737bf,44.51,2024-03-12T00:41:07.015793-04:00
65efdd091241735f89173843,44.67,2024-03-12T00:41:45.442951-04:00
65efdd2f1241735f891738c7,44.87,2024-03-12T00:42:23.920581-04:00
65efdd561241735f8917394b,44.6,2024-03-12T00:43:02.403332-04:00
65efdd7c1241735f891739cf,44.51,2024-03-12T00:43:40.880887-04:00
65efdda31241735f89173a53,44.79,2024-03-12T00:44:19.341139-04:00
65efddc91241735f89173ad7,44.79,2024-03-12T00:44:57.836835-04:00
65efddf01241735f89173b5b,44.74,2024-03-12T00:45:36.317997-04:00
65efde161241735f89173bdf,45.06,2024-03-12T00:46:14.796005-04:00
65efde3d1241735f89173c63,45.38,2024-03-12T00:46:53.272805-04:00
65efde631241735f89173ce7,44.93,2024-03-12T00:47:31.739419-04:00
65efde8a1241735f89173d6b,45.08,2024-03-12T00:48:10.230409-04:00
65efdeb01241735f89173def,44.8,2024-03-12T00:48:48.705801-04:00
65efded71241735f89173e73,44.96,2024-03-12T00:49:27.184382-04:00
65efdefd1241735f89173ef7,44.98,2024-03-12T00:50:05.664812-04:00
65efdf241241735f89173f7b,46.0,2024-03-12T00:50:44.171377-04:00
65efdf4a1241735f89173fff,45.0,2024-03-12T00:51:22.609615-04:00
65efdf711241735f89174083,45.3,2024-03-12T00:52:01.084364-04:00
65efdf971241735f89174107,44.87,2024-03-12T00:52:39.558066-04:00
65efdfbe1241735f8917418b,44.9,2024-03-12T00:53:18.055316-04:00
65efdfe41241735f8917420f,45.32,2024-03-12T00:53:56.475177-04:00
65efe00a1241735f89174293,45.19,2024-03-12T00:54:34.973595-04:00
65efe0311241735f89174317,45.19,2024-03-12T00:55:13.450530-04:00
65efe0571241735f8917439b,45.83,2024-03-12T00:55:51.920228-04:00
65efe07e1241735f8917441f,44.74,2024-03-12T00:56:30.398654-04:00
65efe0a41241735f891744a3,44.94,2024-03-12T00:57:08.870185-04:00
65efe0cb1241735f89174527,44.81,2024-03-12T00:57:47.359158-04:00
65efe0f11241735f891745ab,44.87,2024-03-12T00:58:25.834522-04:00
65efe1181241735f8917462f,44.73,2024-03-12T00:59:04.312969-04:00
65efe13e1241735f891746b3,44.69,2024-03-12T00:59:42.792203-04:00
65efe1651241735f89174737,44.89,2024-03-12T01:00:21.290666-04:00
65efe18b1241735f891747bb,44.87,2024-03-12T01:00:59.737075-04:00
