_id,device,feedback,timestamp,month
662348279a8cdfbc2b85986d,ezoColor,sending data,2024-04-20T00:44:23.560271-04:00,April
662348539a8cdfbc2b8598f7,ezoHumidity,sending data,2024-04-20T00:45:07.932730-04:00,April
6623487b9a8cdfbc2b85997f,ezoConductivity,sending data,2024-04-20T00:45:47.368148-04:00,April
662348a79a8cdfbc2b859a09,ezoCO2,sending data,2024-04-20T00:46:31.599252-04:00,April
662348d39a8cdfbc2b859a93,ezoColor,sending data,2024-04-20T00:47:15.979194-04:00,April
662349009a8cdfbc2b859b1d,ezoHumidity,sending data,2024-04-20T00:48:00.233887-04:00,April
662349279a8cdfbc2b859ba5,ezoConductivity,sending data,2024-04-20T00:48:39.665565-04:00,April
662349539a8cdfbc2b859c2f,ezoTemperature,sending data,2024-04-20T00:49:23.895575-04:00,April
662349809a8cdfbc2b859cb9,ezoColor,sending data,2024-04-20T00:50:08.281058-04:00,April
662349ac9a8cdfbc2b859d43,ezoHumidity,sending data,2024-04-20T00:50:52.689184-04:00,April
662349d39a8cdfbc2b859dcb,ezoConductivity,sending data,2024-04-20T00:51:31.958258-04:00,April
66234a009a8cdfbc2b859e55,ezoColor,sending data,2024-04-20T00:52:16.200716-04:00,April
66234a2c9a8cdfbc2b859edf,ezoHumidity,sending data,2024-04-20T00:53:00.574323-04:00,April
66234a549a8cdfbc2b859f67,ezoConductivity,sending data,2024-04-20T00:53:40.008408-04:00,April
66234a809a8cdfbc2b859ff1,ezoCO2,sending data,2024-04-20T00:54:24.242622-04:00,April
66234aac9a8cdfbc2b85a07b,ezoColor,sending data,2024-04-20T00:55:08.620121-04:00,April
66234ad89a8cdfbc2b85a105,ezoHumidity,sending data,2024-04-20T00:55:52.871146-04:00,April
66234b009a8cdfbc2b85a18d,ezoConductivity,sending data,2024-04-20T00:56:32.309558-04:00,April
66234b2c9a8cdfbc2b85a217,ezoTemperature,sending data,2024-04-20T00:57:16.542921-04:00,April
66234b589a8cdfbc2b85a2a1,ezoColor,sending data,2024-04-20T00:58:00.925510-04:00,April
66234b859a8cdfbc2b85a32b,ezoHumidity,sending data,2024-04-20T00:58:45.181739-04:00,April
66234bac9a8cdfbc2b85a3b3,ezoConductivity,sending data,2024-04-20T00:59:24.611248-04:00,April
66234bd89a8cdfbc2b85a43d,ezoColor,sending data,2024-04-20T01:00:08.852222-04:00,April
66234c059a8cdfbc2b85a4c7,ezoHumidity,sending data,2024-04-20T01:00:53.227779-04:00,April
66234c2c9a8cdfbc2b85a54f,ezoConductivity,sending data,2024-04-20T01:01:32.669305-04:00,April
66234c589a8cdfbc2b85a5d9,ezoCO2,sending data,2024-04-20T01:02:16.902749-04:00,April
66234c859a8cdfbc2b85a663,ezoColor,sending data,2024-04-20T01:03:01.284462-04:00,April
66234cb19a8cdfbc2b85a6ed,ezoHumidity,sending data,2024-04-20T01:03:45.533686-04:00,April
66234cd89a8cdfbc2b85a775,ezoConductivity,sending data,2024-04-20T01:04:24.969873-04:00,April
66234d059a8cdfbc2b85a7ff,ezoTemperature,sending data,2024-04-20T01:05:09.200963-04:00,April
66234d319a8cdfbc2b85a889,ezoColor,sending data,2024-04-20T01:05:53.579096-04:00,April
66234d5d9a8cdfbc2b85a913,ezoHumidity,sending data,2024-04-20T01:06:37.837562-04:00,April
66234d859a8cdfbc2b85a99b,ezoConductivity,sending data,2024-04-20T01:07:17.266218-04:00,April
66234db19a8cdfbc2b85aa25,ezoColor,sending data,2024-04-20T01:08:01.507493-04:00,April
66234ddd9a8cdfbc2b85aaaf,ezoHumidity,sending data,2024-04-20T01:08:45.884586-04:00,April
66234e059a8cdfbc2b85ab37,ezoConductivity,sending data,2024-04-20T01:09:25.315757-04:00,April
66234e319a8cdfbc2b85abc1,ezoCO2,sending data,2024-04-20T01:10:09.553014-04:00,April
66234e5d9a8cdfbc2b85ac4b,ezoColor,sending data,2024-04-20T01:10:53.931971-04:00,April
66234e8a9a8cdfbc2b85acd5,ezoHumidity,sending data,2024-04-20T01:11:38.188437-04:00,April
66234eb19a8cdfbc2b85ad5d,ezoConductivity,sending data,2024-04-20T01:12:17.626167-04:00,April
66234edd9a8cdfbc2b85ade7,ezoTemperature,sending data,2024-04-20T01:13:01.859112-04:00,April
66234f0a9a8cdfbc2b85ae71,ezoColor,sending data,2024-04-20T01:13:46.235917-04:00,April
66234f369a8cdfbc2b85aefb,ezoHumidity,sending data,2024-04-20T01:14:30.489305-04:00,April
66234f5d9a8cdfbc2b85af83,ezoConductivity,sending data,2024-04-20T01:15:09.915070-04:00,April
66234f8a9a8cdfbc2b85b00d,ezoColor,sending data,2024-04-20T01:15:54.152895-04:00,April
66234fb69a8cdfbc2b85b097,ezoHumidity,sending data,2024-04-20T01:16:38.527512-04:00,April
66234fdd9a8cdfbc2b85b11f,ezoConductivity,sending data,2024-04-20T01:17:17.961131-04:00,April
6623500a9a8cdfbc2b85b1a9,ezoCO2,sending data,2024-04-20T01:18:02.194672-04:00,April
662350369a8cdfbc2b85b233,ezoColor,sending data,2024-04-20T01:18:46.572775-04:00,April
662350629a8cdfbc2b85b2bd,ezoHumidity,sending data,2024-04-20T01:19:30.814346-04:00,April
6623508a9a8cdfbc2b85b345,ezoConductivity,sending data,2024-04-20T01:20:10.248116-04:00,April
662350b69a8cdfbc2b85b3cf,ezoTemperature,sending data,2024-04-20T01:20:54.480093-04:00,April
662350e29a8cdfbc2b85b459,ezoColor,sending data,2024-04-20T01:21:38.860328-04:00,April
6623510f9a8cdfbc2b85b4e3,ezoHumidity,sending data,2024-04-20T01:22:23.113652-04:00,April
662351369a8cdfbc2b85b56b,ezoConductivity,sending data,2024-04-20T01:23:02.541912-04:00,April
662351629a8cdfbc2b85b5f5,ezoColor,sending data,2024-04-20T01:23:46.781371-04:00,April
6623518f9a8cdfbc2b85b67f,ezoHumidity,sending data,2024-04-20T01:24:31.157200-04:00,April
662351b69a8cdfbc2b85b707,ezoConductivity,sending data,2024-04-20T01:25:10.593518-04:00,April
662351e29a8cdfbc2b85b791,ezoCO2,sending data,2024-04-20T01:25:54.826125-04:00,April
6623520f9a8cdfbc2b85b81b,ezoColor,sending data,2024-04-20T01:26:39.208001-04:00,April
6623523b9a8cdfbc2b85b8a5,ezoHumidity,sending data,2024-04-20T01:27:23.458760-04:00,April
662352629a8cdfbc2b85b92d,ezoConductivity,sending data,2024-04-20T01:28:02.894369-04:00,April
662352909a8cdfbc2b85b9b7,ezoTemperature,sending data,2024-04-20T01:28:48.226562-04:00,April
662352bb9a8cdfbc2b85ba41,ezoColor,sending data,2024-04-20T01:29:31.501040-04:00,April
662352e79a8cdfbc2b85bacb,ezoHumidity,sending data,2024-04-20T01:30:15.754887-04:00,April
6623530f9a8cdfbc2b85bb53,ezoConductivity,sending data,2024-04-20T01:30:55.182465-04:00,April
6623533b9a8cdfbc2b85bbdd,ezoColor,sending data,2024-04-20T01:31:39.422749-04:00,April
662353679a8cdfbc2b85bc67,ezoHumidity,sending data,2024-04-20T01:32:23.801438-04:00,April
6623538f9a8cdfbc2b85bcef,ezoConductivity,sending data,2024-04-20T01:33:03.235371-04:00,April
662353bb9a8cdfbc2b85bd79,ezoCO2,sending data,2024-04-20T01:33:47.466283-04:00,April
662353e79a8cdfbc2b85be03,ezoColor,sending data,2024-04-20T01:34:31.846025-04:00,April
662354149a8cdfbc2b85be8d,ezoHumidity,sending data,2024-04-20T01:35:16.099417-04:00,April
6623543b9a8cdfbc2b85bf15,ezoConductivity,sending data,2024-04-20T01:35:55.539463-04:00,April
662354679a8cdfbc2b85bf9f,ezoTemperature,sending data,2024-04-20T01:36:39.767649-04:00,April
662354949a8cdfbc2b85c029,ezoColor,sending data,2024-04-20T01:37:24.149975-04:00,April
662354c09a8cdfbc2b85c0b3,ezoHumidity,sending data,2024-04-20T01:38:08.404560-04:00,April
662354e79a8cdfbc2b85c13b,ezoConductivity,sending data,2024-04-20T01:38:47.830681-04:00,April
662355149a8cdfbc2b85c1c5,ezoColor,sending data,2024-04-20T01:39:32.076851-04:00,April
662355409a8cdfbc2b85c24f,ezoHumidity,sending data,2024-04-20T01:40:16.451424-04:00,April
662355679a8cdfbc2b85c2d7,ezoConductivity,sending data,2024-04-20T01:40:55.886964-04:00,April
662355949a8cdfbc2b85c361,ezoCO2,sending data,2024-04-20T01:41:40.123730-04:00,April
662355c09a8cdfbc2b85c3eb,ezoColor,sending data,2024-04-20T01:42:24.502587-04:00,April
662355ec9a8cdfbc2b85c475,ezoHumidity,sending data,2024-04-20T01:43:08.760936-04:00,April
662356149a8cdfbc2b85c4fd,ezoConductivity,sending data,2024-04-20T01:43:48.900899-04:00,April
662356409a8cdfbc2b85c587,ezoTemperature,sending data,2024-04-20T01:44:32.417344-04:00,April
6623566c9a8cdfbc2b85c611,ezoColor,sending data,2024-04-20T01:45:16.803824-04:00,April
662356999a8cdfbc2b85c69b,ezoHumidity,sending data,2024-04-20T01:46:01.054841-04:00,April
662356c09a8cdfbc2b85c723,ezoConductivity,sending data,2024-04-20T01:46:40.483262-04:00,April
662356ec9a8cdfbc2b85c7ad,ezoColor,sending data,2024-04-20T01:47:24.724650-04:00,April
662357199a8cdfbc2b85c837,ezoHumidity,sending data,2024-04-20T01:48:09.101183-04:00,April
662357409a8cdfbc2b85c8bf,ezoConductivity,sending data,2024-04-20T01:48:48.534542-04:00,April
6623576c9a8cdfbc2b85c949,ezoCO2,sending data,2024-04-20T01:49:32.766211-04:00,April
662357999a8cdfbc2b85c9d3,ezoColor,sending data,2024-04-20T01:50:17.146950-04:00,April
662357c59a8cdfbc2b85ca5d,ezoHumidity,sending data,2024-04-20T01:51:01.398695-04:00,April
662357ec9a8cdfbc2b85cae5,ezoConductivity,sending data,2024-04-20T01:51:40.832402-04:00,April
662358199a8cdfbc2b85cb6f,ezoTemperature,sending data,2024-04-20T01:52:25.065054-04:00,April
662358459a8cdfbc2b85cbf9,ezoColor,sending data,2024-04-20T01:53:09.446107-04:00,April
662358719a8cdfbc2b85cc83,ezoHumidity,sending data,2024-04-20T01:53:53.844404-04:00,April
662358999a8cdfbc2b85cd0b,ezoConductivity,sending data,2024-04-20T01:54:33.118663-04:00,April
662358c59a8cdfbc2b85cd95,ezoColor,sending data,2024-04-20T01:55:17.362049-04:00,April
662358f19a8cdfbc2b85ce1f,ezoHumidity,sending data,2024-04-20T01:56:01.733673-04:00,April
662359199a8cdfbc2b85cea7,ezoConductivity,sending data,2024-04-20T01:56:41.184149-04:00,April
662359459a8cdfbc2b85cf31,ezoCO2,sending data,2024-04-20T01:57:25.400148-04:00,April
662359719a8cdfbc2b85cfbb,ezoColor,sending data,2024-04-20T01:58:09.782265-04:00,April
6623599e9a8cdfbc2b85d045,ezoHumidity,sending data,2024-04-20T01:58:54.032326-04:00,April
662359c59a8cdfbc2b85d0cd,ezoConductivity,sending data,2024-04-20T01:59:33.468740-04:00,April
662359f19a8cdfbc2b85d157,ezoTemperature,sending data,2024-04-20T02:00:17.700548-04:00,April
66235a1e9a8cdfbc2b85d1e1,ezoColor,sending data,2024-04-20T02:01:02.078394-04:00,April
66235a4a9a8cdfbc2b85d26b,ezoHumidity,sending data,2024-04-20T02:01:46.331209-04:00,April
66235a719a8cdfbc2b85d2f3,ezoConductivity,sending data,2024-04-20T02:02:25.758971-04:00,April
66235a9e9a8cdfbc2b85d37d,ezoColor,sending data,2024-04-20T02:03:10.000612-04:00,April
66235aca9a8cdfbc2b85d407,ezoHumidity,sending data,2024-04-20T02:03:54.371098-04:00,April
66235af19a8cdfbc2b85d48f,ezoConductivity,sending data,2024-04-20T02:04:33.808650-04:00,April
66235b1e9a8cdfbc2b85d519,ezoCO2,sending data,2024-04-20T02:05:18.043068-04:00,April
66235b4a9a8cdfbc2b85d5a3,ezoColor,sending data,2024-04-20T02:06:02.424692-04:00,April
66235b769a8cdfbc2b85d62d,ezoHumidity,sending data,2024-04-20T02:06:46.679110-04:00,April
66235b9e9a8cdfbc2b85d6b5,ezoConductivity,sending data,2024-04-20T02:07:26.111475-04:00,April
66235bca9a8cdfbc2b85d73f,ezoTemperature,sending data,2024-04-20T02:08:10.340412-04:00,April
66235bf69a8cdfbc2b85d7c9,ezoColor,sending data,2024-04-20T02:08:54.716447-04:00,April
66235c229a8cdfbc2b85d853,ezoHumidity,sending data,2024-04-20T02:09:38.973837-04:00,April
66235c4a9a8cdfbc2b85d8db,ezoConductivity,sending data,2024-04-20T02:10:18.401566-04:00,April
66235c769a8cdfbc2b85d965,ezoColor,sending data,2024-04-20T02:11:02.641127-04:00,April
66235ca39a8cdfbc2b85d9ef,ezoHumidity,sending data,2024-04-20T02:11:47.014811-04:00,April
66235cca9a8cdfbc2b85da77,ezoConductivity,sending data,2024-04-20T02:12:26.451722-04:00,April
66235cf69a8cdfbc2b85db01,ezoCO2,sending data,2024-04-20T02:13:10.691705-04:00,April
66235d239a8cdfbc2b85db8b,ezoColor,sending data,2024-04-20T02:13:55.551669-04:00,April
