_id,data,timestamp
65ea9b501241735f89055757,1398.0,2024-03-08T00:00:00.830148-05:00
65ea9b5e1241735f89055779,1372.0,2024-03-08T00:00:14.279266-05:00
65ea9b6b1241735f8905579b,1406.0,2024-03-08T00:00:27.749595-05:00
65ea9b791241735f890557bd,1373.0,2024-03-08T00:00:41.468752-05:00
65ea9b871241735f890557df,1402.0,2024-03-08T00:00:55.056718-05:00
65ea9b941241735f89055801,1363.0,2024-03-08T00:01:08.647090-05:00
65ea9ba21241735f89055823,1410.0,2024-03-08T00:01:22.234134-05:00
65ea9baf1241735f89055845,1362.0,2024-03-08T00:01:35.825026-05:00
65ea9bbd1241735f89055867,1408.0,2024-03-08T00:01:49.417955-05:00
65ea9bcb1241735f89055889,1363.0,2024-03-08T00:02:03.793427-05:00
65ea9bd81241735f890558ab,1384.0,2024-03-08T00:02:16.584103-05:00
65ea9be61241735f890558cd,1390.0,2024-03-08T00:02:30.053392-05:00
65ea9bf31241735f890558ef,1384.0,2024-03-08T00:02:43.768223-05:00
65ea9c011241735f89055911,1389.0,2024-03-08T00:02:57.362657-05:00
65ea9c0e1241735f89055933,1380.0,2024-03-08T00:03:10.947618-05:00
65ea9c1c1241735f89055955,1388.0,2024-03-08T00:03:24.538991-05:00
65ea9c2a1241735f89055977,1384.0,2024-03-08T00:03:38.129949-05:00
65ea9c371241735f89055999,1383.0,2024-03-08T00:03:51.717231-05:00
65ea9c451241735f890559bb,1391.0,2024-03-08T00:04:05.311337-05:00
65ea9c521241735f890559dd,1386.0,2024-03-08T00:04:18.908017-05:00
65ea9c601241735f890559ff,1390.0,2024-03-08T00:04:32.498571-05:00
65ea9c6e1241735f89055a21,1381.0,2024-03-08T00:04:46.086566-05:00
65ea9c7b1241735f89055a43,1396.0,2024-03-08T00:04:59.559058-05:00
65ea9c891241735f89055a65,1382.0,2024-03-08T00:05:13.275183-05:00
65ea9c961241735f89055a87,1395.0,2024-03-08T00:05:26.864475-05:00
65ea9ca41241735f89055aa9,1375.0,2024-03-08T00:05:40.453756-05:00
65ea9cb21241735f89055acb,1401.0,2024-03-08T00:05:54.044968-05:00
65ea9cbf1241735f89055aed,1371.0,2024-03-08T00:06:07.637346-05:00
65ea9ccd1241735f89055b0f,1399.0,2024-03-08T00:06:21.226331-05:00
65ea9cda1241735f89055b31,1372.0,2024-03-08T00:06:34.820769-05:00
65ea9ce81241735f89055b53,1399.0,2024-03-08T00:06:48.291048-05:00
65ea9cf61241735f89055b75,1373.0,2024-03-08T00:07:02.003972-05:00
65ea9d031241735f89055b97,1398.0,2024-03-08T00:07:15.601271-05:00
65ea9d111241735f89055bb9,1372.0,2024-03-08T00:07:29.195375-05:00
65ea9d1e1241735f89055bdb,1399.0,2024-03-08T00:07:42.781180-05:00
65ea9d2c1241735f89055bfd,1375.0,2024-03-08T00:07:56.376767-05:00
65ea9d391241735f89055c1f,1396.0,2024-03-08T00:08:09.963138-05:00
65ea9d481241735f89055c41,1386.0,2024-03-08T00:08:24.699357-05:00
65ea9d551241735f89055c63,1367.0,2024-03-08T00:08:37.132602-05:00
65ea9d621241735f89055c85,1405.0,2024-03-08T00:08:50.718617-05:00
65ea9d701241735f89055ca7,1365.0,2024-03-08T00:09:04.306699-05:00
65ea9d7d1241735f89055cc9,1393.0,2024-03-08T00:09:17.775815-05:00
65ea9d8b1241735f89055ceb,1368.0,2024-03-08T00:09:31.490507-05:00
65ea9d991241735f89055d0d,1390.0,2024-03-08T00:09:45.081513-05:00
65ea9da61241735f89055d2f,1383.0,2024-03-08T00:09:58.667911-05:00
65ea9db41241735f89055d51,1382.0,2024-03-08T00:10:12.257289-05:00
65ea9dc11241735f89055d73,1394.0,2024-03-08T00:10:25.846517-05:00
65ea9dcf1241735f89055d96,1377.0,2024-03-08T00:10:39.450165-05:00
65ea9ddd1241735f89055db7,1395.0,2024-03-08T00:10:53.030743-05:00
65ea9dea1241735f89055dd9,1375.0,2024-03-08T00:11:06.618973-05:00
65ea9df81241735f89055dfb,1396.0,2024-03-08T00:11:20.209287-05:00
65ea9e051241735f89055e1d,1382.0,2024-03-08T00:11:33.800532-05:00
