_id,data,timestamp
65fa5f461241735f893b3718,43.11,2024-03-20T00:00:06.349027-04:00
65fa5f4c1241735f893b372e,43.16,2024-03-20T00:00:12.759047-04:00
65fa5f531241735f893b3744,43.14,2024-03-20T00:00:19.170907-04:00
65fa5f591241735f893b375a,43.10,2024-03-20T00:00:25.585229-04:00
65fa5f5f1241735f893b3770,43.16,2024-03-20T00:00:31.999317-04:00
65fa5f661241735f893b3786,43.19,2024-03-20T00:00:38.411505-04:00
65fa5f6c1241735f893b379c,43.26,2024-03-20T00:00:44.825273-04:00
65fa5f731241735f893b37b2,43.20,2024-03-20T00:00:51.238661-04:00
65fa5f791241735f893b37c8,43.19,2024-03-20T00:00:57.688205-04:00
65fa5f801241735f893b37de,43.21,2024-03-20T00:01:04.062569-04:00
65fa5f861241735f893b37f4,43.19,2024-03-20T00:01:10.473769-04:00
65fa5f8c1241735f893b380a,43.26,2024-03-20T00:01:16.888878-04:00
65fa5f931241735f893b3820,43.24,2024-03-20T00:01:23.302011-04:00
65fa5f991241735f893b3836,43.25,2024-03-20T00:01:29.715936-04:00
65fa5fa01241735f893b384c,43.35,2024-03-20T00:01:36.130959-04:00
65fa5fa61241735f893b3862,43.26,2024-03-20T00:01:42.544111-04:00
65fa5fac1241735f893b3878,43.20,2024-03-20T00:01:48.956629-04:00
65fa5fb31241735f893b388e,43.19,2024-03-20T00:01:55.372431-04:00
65fa5fb91241735f893b38a4,43.23,2024-03-20T00:02:01.791910-04:00
65fa5fc01241735f893b38ba,43.21,2024-03-20T00:02:08.227696-04:00
65fa5fc61241735f893b38d0,43.23,2024-03-20T00:02:14.610688-04:00
65fa5fcd1241735f893b38e6,43.35,2024-03-20T00:02:21.027022-04:00
65fa5fd31241735f893b38fc,43.39,2024-03-20T00:02:27.440644-04:00
65fa5fd91241735f893b3912,43.32,2024-03-20T00:02:33.855808-04:00
65fa5fe01241735f893b3928,43.21,2024-03-20T00:02:40.270134-04:00
65fa5fe61241735f893b393e,43.20,2024-03-20T00:02:46.682769-04:00
65fa5fed1241735f893b3954,43.17,2024-03-20T00:02:53.090068-04:00
65fa5ff31241735f893b396a,43.26,2024-03-20T00:02:59.503130-04:00
65fa5ff91241735f893b3980,43.30,2024-03-20T00:03:05.917854-04:00
65fa60001241735f893b3996,43.32,2024-03-20T00:03:12.329261-04:00
65fa60061241735f893b39ac,43.26,2024-03-20T00:03:18.743552-04:00
65fa600d1241735f893b39c2,43.22,2024-03-20T00:03:25.157815-04:00
65fa60131241735f893b39d8,43.20,2024-03-20T00:03:31.568600-04:00
65fa60191241735f893b39ee,43.24,2024-03-20T00:03:37.982126-04:00
65fa60201241735f893b3a04,43.21,2024-03-20T00:03:44.396984-04:00
65fa60261241735f893b3a1a,43.25,2024-03-20T00:03:50.811676-04:00
65fa602d1241735f893b3a30,43.37,2024-03-20T00:03:57.225734-04:00
65fa60331241735f893b3a46,43.42,2024-03-20T00:04:03.641487-04:00
65fa603a1241735f893b3a5c,43.36,2024-03-20T00:04:10.106250-04:00
65fa60401241735f893b3a72,43.30,2024-03-20T00:04:16.466394-04:00
65fa60461241735f893b3a88,43.29,2024-03-20T00:04:22.883049-04:00
65fa604d1241735f893b3a9e,43.30,2024-03-20T00:04:29.296136-04:00
65fa60531241735f893b3ab4,43.35,2024-03-20T00:04:35.711474-04:00
65fa605a1241735f893b3aca,43.30,2024-03-20T00:04:42.124279-04:00
65fa60601241735f893b3ae0,43.25,2024-03-20T00:04:48.538409-04:00
65fa60661241735f893b3af6,43.25,2024-03-20T00:04:54.951403-04:00
65fa606d1241735f893b3b0c,43.32,2024-03-20T00:05:01.361801-04:00
65fa60731241735f893b3b22,43.37,2024-03-20T00:05:07.775154-04:00
65fa607a1241735f893b3b38,43.39,2024-03-20T00:05:14.212798-04:00
65fa60801241735f893b3b4e,43.38,2024-03-20T00:05:20.612731-04:00
65fa60871241735f893b3b64,43.39,2024-03-20T00:05:27.015442-04:00
65fa608d1241735f893b3b7a,43.46,2024-03-20T00:05:33.427233-04:00
65fa60931241735f893b3b90,43.35,2024-03-20T00:05:39.841055-04:00
65fa609a1241735f893b3ba6,43.29,2024-03-20T00:05:46.254367-04:00
65fa60a01241735f893b3bbc,43.32,2024-03-20T00:05:52.668282-04:00
65fa60a71241735f893b3bd2,43.40,2024-03-20T00:05:59.083469-04:00
65fa60ad1241735f893b3be8,43.32,2024-03-20T00:06:05.492759-04:00
65fa60b31241735f893b3bfe,43.40,2024-03-20T00:06:11.907655-04:00
65fa60ba1241735f893b3c14,43.35,2024-03-20T00:06:18.317238-04:00
65fa60c01241735f893b3c2a,43.39,2024-03-20T00:06:24.732755-04:00
65fa60c71241735f893b3c40,43.46,2024-03-20T00:06:31.145986-04:00
65fa60cd1241735f893b3c56,43.51,2024-03-20T00:06:37.559938-04:00
65fa60d31241735f893b3c6c,43.52,2024-03-20T00:06:43.973008-04:00
65fa60da1241735f893b3c82,43.42,2024-03-20T00:06:50.387104-04:00
65fa60e01241735f893b3c98,43.42,2024-03-20T00:06:56.800151-04:00
65fa60e71241735f893b3cae,43.58,2024-03-20T00:07:03.216264-04:00
65fa60ed1241735f893b3cc4,43.52,2024-03-20T00:07:09.629647-04:00
65fa60f41241735f893b3cda,43.42,2024-03-20T00:07:16.044222-04:00
65fa60fa1241735f893b3cf0,43.45,2024-03-20T00:07:22.509720-04:00
65fa61001241735f893b3d06,43.42,2024-03-20T00:07:28.864551-04:00
65fa61071241735f893b3d1c,43.40,2024-03-20T00:07:35.277898-04:00
65fa610d1241735f893b3d32,43.48,2024-03-20T00:07:41.691928-04:00
65fa61141241735f893b3d48,43.42,2024-03-20T00:07:48.106922-04:00
65fa611a1241735f893b3d5e,43.47,2024-03-20T00:07:54.521543-04:00
65fa61201241735f893b3d74,43.48,2024-03-20T00:08:00.934897-04:00
65fa61271241735f893b3d8a,43.51,2024-03-20T00:08:07.349151-04:00
65fa612d1241735f893b3da0,43.48,2024-03-20T00:08:13.763366-04:00
65fa61341241735f893b3db6,43.45,2024-03-20T00:08:20.175431-04:00
65fa613a1241735f893b3dcc,43.44,2024-03-20T00:08:26.658769-04:00
65fa61411241735f893b3de2,43.64,2024-03-20T00:08:33.001572-04:00
65fa61471241735f893b3df8,43.59,2024-03-20T00:08:39.414600-04:00
65fa614d1241735f893b3e0e,43.42,2024-03-20T00:08:45.828533-04:00
65fa61541241735f893b3e24,43.42,2024-03-20T00:08:52.242763-04:00
65fa615a1241735f893b3e3a,43.42,2024-03-20T00:08:58.655662-04:00
65fa61611241735f893b3e50,43.47,2024-03-20T00:09:05.071537-04:00
65fa61671241735f893b3e66,43.42,2024-03-20T00:09:11.483298-04:00
65fa616d1241735f893b3e7c,43.37,2024-03-20T00:09:17.899190-04:00
65fa61741241735f893b3e92,43.34,2024-03-20T00:09:24.313535-04:00
65fa617a1241735f893b3ea8,43.36,2024-03-20T00:09:30.723684-04:00
65fa61811241735f893b3ebe,43.37,2024-03-20T00:09:37.139541-04:00
65fa61871241735f893b3ed4,43.49,2024-03-20T00:09:43.553679-04:00
65fa618d1241735f893b3eea,43.45,2024-03-20T00:09:49.968062-04:00
65fa61941241735f893b3f00,43.43,2024-03-20T00:09:56.379265-04:00
65fa619a1241735f893b3f16,43.58,2024-03-20T00:10:02.791890-04:00
65fa61a11241735f893b3f2c,43.64,2024-03-20T00:10:09.204920-04:00
65fa61a71241735f893b3f42,43.42,2024-03-20T00:10:15.618072-04:00
65fa61ae1241735f893b3f58,43.39,2024-03-20T00:10:22.031726-04:00
65fa61b41241735f893b3f6e,43.38,2024-03-20T00:10:28.444194-04:00
65fa61ba1241735f893b3f84,43.38,2024-03-20T00:10:34.831566-04:00
65fa61c11241735f893b3f9a,43.37,2024-03-20T00:10:41.268288-04:00
65fa61c71241735f893b3fb0,43.35,2024-03-20T00:10:47.683483-04:00
65fa61ce1241735f893b3fc6,43.31,2024-03-20T00:10:54.094670-04:00
65fa61d41241735f893b3fdc,43.30,2024-03-20T00:11:00.507833-04:00
65fa61da1241735f893b3ff2,43.29,2024-03-20T00:11:06.923570-04:00
65fa61e11241735f893b4008,43.32,2024-03-20T00:11:13.335856-04:00
65fa61e71241735f893b401e,43.42,2024-03-20T00:11:19.746642-04:00
65fa61ee1241735f893b4034,43.46,2024-03-20T00:11:26.161140-04:00
